dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,32,"{""n_probes"":2048}",0.99,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,1.0,1.0,52.10105900187045,1.6281580938084517,614.1909706451684,0.99,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,32,"{""n_probes"":256}",0.90,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.975,0.971875,29.782821002299897,0.9307131563218718,1074.4448955164082,0.90,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,32,"{""n_probes"":32}",0.80,3,1.839251069999591,2560000128,2618195871,6697517056,6714294272,1,0.9,0.85,3.5358800014364533,0.11049625004488917,9050.08088142131,0.80,finite,3933.117410774753,3933.117410774753,393.3117410774753,39.33117410774753,3.933117410774753
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,32,"{""n_probes"":512}",0.95,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.990625,0.990625,51.879811006074306,1.621244093939822,616.8102654856107,0.95,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,brute_force,256,{},1.00,3,0.029561173003457952,2560000128,2580001186,2836660224,3339124736,3,1.0,1.0,119.97529200016288,0.46865348437563625,2133.772677124657,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-5m-d128,vectors-1317ee076d5d,5000000,128,cagra,256,"{""itopk_size"":128,""search_width"":4}",0.90,3,17.962704958998074,2560000128,3840001848,4298375168,4834394112,3,0.928125,0.904296875,2.0632140003726818,0.008059429688955788,124078.2584616808,0.90,finite,38998.99439912923,38998.99439912923,3899.8994399129233,389.9899439912923,38.99899439912923
scale-5m-d128,vectors-1317ee076d5d,5000000,128,cagra,256,"{""itopk_size"":256,""search_width"":16}",0.95,3,17.962704958998074,2560000128,3840001848,4298375168,4834394112,3,0.991015625,0.990625,3.3525070030009374,0.013095730480472412,76360.76517389706,0.95,finite,39430.13768377605,39430.13768377605,3943.0137683776047,394.3013768377605,39.430137683776046
scale-5m-d128,vectors-1317ee076d5d,5000000,128,cagra,256,"{""itopk_size"":64,""search_width"":16}",0.80,3,17.962704958998074,2560000128,3840001848,4298375168,4834394112,3,0.8703125,0.84609375,1.6059319968917407,0.006273171862858362,159408.99147378872,0.80,finite,38848.33431030149,38848.33431030149,3884.8334310301493,388.48334310301493,38.84833431030149
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,256,"{""n_probes"":2048}",0.99,3,1.839251069999591,2560000128,2618195871,6697517056,7202078720,3,1.0,1.0,427.5446070023463,1.6700961211029153,598.7679315964219,0.99,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,256,"{""n_probes"":256}",0.95,3,1.839251069999591,2560000128,2618195871,6697517056,7202078720,3,0.977734375,0.973828125,234.3350629962515,0.9153713398291075,1092.4528183138136,0.95,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,256,"{""n_probes"":32}",0.90,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.91640625,0.91015625,29.729548004979733,0.11613104689445208,8610.96172592734,0.90,finite,5217.401431640109,5217.401431640109,521.7401431640109,52.17401431640109,5.217401431640109
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_flat,256,"{""n_probes"":4}",0.80,3,1.839251069999591,2560000128,2618195871,6697517056,7199981568,3,0.85703125,0.848828125,3.6133050016360357,0.014114472662640765,70849.26400735285,0.80,finite,4046.409708746691,4046.409708746691,404.6409708746691,40.46409708746691,4.046409708746691
scale-5m-d128,vectors-1317ee076d5d,5000000,128,ivf_pq_balanced,256,"{""n_probes"":512}",0.80,3,3.610281881999981,2560000128,365238697,3371433984,3875995648,3,0.823046875,0.82265625,52.83574100030819,0.20638961328245387,4845.205066746518,0.80,finite,13765.837692212082,13765.837692212082,1376.5837692212083,137.65837692212082,13.765837692212083
