"study","profile","codec","rows","parquet_bytes","estimated_logical_bytes","workload","engine","median_seconds","min_seconds","max_seconds","relative_to_fastest","gpu_utilization_mean_percent","process_cpu_cores_mean","process_rss_peak_bytes","trials","correct"
"crossover","wide","zstd","10000000","983414892","1729999896","join_groupby","polars-gpu","0.043659461","0.042520198","0.044212491","1.0","0.0","1.5393207134115159","2174271488","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","scan_groupby","cudf","0.039727278","0.039471805","0.039963575","1.035796913786382","0.0","1.2371774075456348","2350075904","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","scan_groupby","duckdb","0.038354312","0.037356286","0.039791886","1.0","3.0","5.895763116091335","2386108416","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","scan_groupby","polars-cpu","0.043980196","0.042836001","0.047032674","1.1466819167555398","16.0","5.794117096468199","2210091008","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","scan_groupby","polars-gpu","0.041937709","0.041141213","0.047396893","1.093428791005298","13.333333333333334","0.9404278479682926","2082684928","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","sort_topk","cudf","0.059578572","0.058807662","0.060472211","1.8978509333283131","2.3333333333333335","1.160515628356467","2012979200","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","sort_topk","duckdb","0.035038117","0.034550632","0.036344332","1.116124821697919","27.666666666666668","5.932134613876994","2399383552","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","sort_topk","polars-cpu","0.031392651","0.028972015","0.032154016","1.0","19.0","6.940938882319912","2012868608","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","sort_topk","polars-gpu","0.059063932","0.058878723","0.060227934","1.8814572875670805","27.666666666666668","1.1660433678819246","1816051712","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","string_features","cudf","0.037768878","0.037540464","0.037964555","1.4419241772742104","19.0","1.3695534633346398","1907134464","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","string_features","duckdb","0.026193387","0.0259716","0.026984535","1.0","13.333333333333334","5.367181364284438","2257260544","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","string_features","polars-cpu","0.048898304","0.04554509","0.0520818","1.8668186744997888","46.666666666666664","6.343435268798085","1692913664","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","string_features","polars-gpu","0.040047718","0.039458894","0.04106759","1.528924762574615","0.0","1.1858523089588553","1764671488","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_12","cudf","0.295890268","0.295297065","0.296029846","1.570037561691267","29.0","2.0434703131908223","2253553664","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_12","duckdb","0.249336436","0.246928042","0.249603263","1.3230160378854725","33.523809523809526","7.188293582663527","2753253376","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_12","polars-cpu","0.333481096","0.33206881","0.336027218","1.76950005950845","31.37037037037037","7.630086441971673","4882997248","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_12","polars-gpu","0.18846063","0.188328619","0.19410542","1.0","0.0","3.718821949490637","3138850816","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_2","cudf","0.102349399","0.101524939","0.102424873","1.21965856867013","46.19047619047618","1.631044958263697","3067797504","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_2","duckdb","0.088502066","0.087836116","0.089498001","1.0546452074614467","47.666666666666664","6.189563215589419","3295801344","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_2","polars-cpu","0.119579035","0.109244098","0.12609312","1.4249775386668893","31.857142857142858","7.161857745864725","2892083200","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_2","polars-gpu","0.083916435","0.083558519","0.087869831","1.0","17.333333333333332","2.1910249269354836","3084451840","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_6","cudf","0.178387265","0.178079876","0.178873923","1.3677227374729004","40.333333333333336","1.9754450510066668","2753523712","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_6","duckdb","0.152934927","0.151990844","0.154649611","1.1725757273741386","27.0","6.77305950656729","2784391168","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_6","polars-cpu","0.214614027","0.203013221","0.215187497","1.6454789219876373","48.22222222222222","7.607399811989043","3354234880","3","True"
