rows,features,input_bytes,implementation,layout,block_size,replications,resident_wall_seconds,resident_wall_seconds_min,resident_wall_seconds_max,resident_device_seconds,one_shot_seconds,one_shot_seconds_min,one_shot_seconds_max,cold_compile_seconds,aos_to_soa_conversion_seconds,max_abs_score_error,flag_mismatches,registers_per_thread,static_shared_memory_bytes,active_blocks_per_multiprocessor,theoretical_occupancy,resident_speedup_vs_numpy,one_shot_speedup_vs_numpy
262144,256,268435456,raw_aos_b1024,aos,1024,3,0.0011966839956585318,0.0011952510103583336,0.001198115001898259,0.0011902400255203247,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,1,0.6666666666666666,149.1010209483987,
262144,256,268435456,raw_aos_b128,aos,128,3,0.0011860280064865947,0.0011860179947689176,0.0011880430101882666,0.001179263949394226,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,12,1.0,150.44063422570866,
262144,256,268435456,raw_aos_b256,aos,256,3,0.001216542994370684,0.0012161129852756858,0.0012215739989187568,0.001209887981414795,0.022296862007351592,0.022211091010831296,0.022399011999368668,0.05862259698915295,0.0029674429970327765,5.340576171875e-05,0,39,0,6,1.0,146.66707739137172,8.002328105473604
262144,256,268435456,raw_aos_b32,aos,32,3,0.0011829239956568927,0.0011801740038208663,0.001185945002362132,0.0011773760318756104,0.02239372898475267,0.022343315999023616,0.022451292985351756,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,0.5,150.83539277281594,7.967712997990757
262144,256,268435456,raw_aos_b512,aos,512,3,0.0012451370130293071,0.001244793995283544,0.001245280000148341,0.0012386239767074585,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,3,1.0,143.29893307982206,
262144,256,268435456,raw_aos_b64,aos,64,3,0.0011889110028278083,0.0011880449892487377,0.001190008013509214,0.001182144045829773,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,1.0,150.07582996617117,
262144,256,268435456,raw_soa_b1024,soa,1024,3,0.0006674850010313094,0.0006668160203844309,0.0006676360208075494,0.0006603519916534424,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,1,0.6666666666666666,267.31208226344376,
262144,256,268435456,raw_soa_b128,soa,128,3,0.000665659987134859,0.0006656159821432084,0.0006667829875368625,0.0006592959761619568,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,12,1.0,268.0449613221952,
262144,256,268435456,raw_soa_b256,soa,256,3,0.0006678560166619718,0.0006677359924651682,0.0006702629907522351,0.0006614080071449279,0.022033904999261722,0.0219471650198102,0.02212341400445439,0.05862259698915295,0.0029674429970327765,5.340576171875e-05,0,39,0,6,1.0,267.1635817508926,8.097829481940432
262144,256,268435456,raw_soa_b32,soa,32,3,0.0006685109983664006,0.0006678390200249851,0.0006696700002066791,0.0006620799899101258,0.021970022993627936,0.021925084001850337,0.022228543006349355,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,0.5,266.9018250130617,8.121375455867577
262144,256,268435456,raw_soa_b512,soa,512,3,0.0006668790010735393,0.0006657939811702818,0.0006672999879810959,0.0006602879762649536,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,3,1.0,267.5549915622856,
262144,256,268435456,raw_soa_b64,soa,64,3,0.0006666719855275005,0.0006654320168308914,0.0006673540046904236,0.0006600639820098877,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,1.0,267.63807296344845,
262144,256,268435456,raw_strided_b1024,strided,1024,3,0.0012002220028080046,0.001198272017063573,0.0012019980058539659,0.0011937600374221802,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,1,0.6666666666666666,148.66150186203387,
262144,256,268435456,raw_strided_b128,strided,128,3,0.0011899830133188516,0.0011899149976670742,0.0011910790053661913,0.0011836800575256348,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,12,1.0,149.94063235210854,
